Country Name,Country Code,Series Name,Series Code,2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Uzbekistan,UZB,Final consumption expenditure (constant 2015 US$),NE.CON.TOTL.KD,36941414133.5904,39608080531.5342,39855441719.0267,41662824700.4869,41780748772.7559,47021875520.2917,51662625207.0367,56155240124.0645,61028676385.997,67681255435.0519,72612833491.7758,75293053383.5721,79745496327.2263,84460975971.7416,83052932640.4847,91403394438.7451,100378881457.686,106330199205.197,113086665769.728,..
Uzbekistan,UZB,Final consumption expenditure (constant LCU),NE.CON.TOTL.KN,51663422543000,55392817211000,55738757556000,58266424481000,58431344025000,65761181068600,72251376899100,78534402826100,85350016216700,94653801967000,101550728003100,105299077545900,111525922038500,118120629444300,116151448261400,127829762327900,140382188629500,148705244221400,158154319066200,..
Uzbekistan,UZB,Final consumption expenditure (current LCU),NE.CON.TOTL.CN,13696083000000,18849691000000,25476351000000,34266712000000,58431344025000,75567398229800,95406499972800,118709772682100,143041252167300,173804598517000,205441651402700,290086276064400,375799783845800,474958400000000,528066100000000,663301100000000,830591500000000,998910866547500,1.1912838032757E+15,..
Uzbekistan,UZB,Final consumption expenditure (current US$),NE.CON.TOTL.CD,11236244380.2711,14918867730.3954,19317827570.5187,23380352342.3534,36838103772.7516,44051631799.7393,50486574858.3403,56663687970.282,61897213751.9507,67681255435.0519,69282997717.3901,56725291921.7615,46569779591.3161,53747858030.9869,52521620679.8072,62519753642.1045,75165662376.3842,85123565950.6703,94155611560.9419,..
Uzbekistan,UZB,Financial intermediary services indirectly Measured (FISIM) (constant LCU),NV.FSM.TOTL.KN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Uzbekistan,UZB,Financial intermediary services indirectly Measured (FISIM) (current LCU),NV.FSM.TOTL.CN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Uzbekistan,UZB,"Fish species, threatened",EN.FSH.THRD.NO,..,..,..,..,..,..,..,..,..,..,..,..,7,..,..,..,9,..,..,..
Uzbekistan,UZB,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,54.3,56.05,59.08,64.11,68.9,73.94,80.17,86.92,93.08,100.51,106.41,101.18,105.38,105.01,106.82,109.7,114.43,..,..,..
Uzbekistan,UZB,"Food, beverages and tobacco (% of value added in manufacturing)",NV.MNF.FBTO.ZS.UN,..,..,..,..,..,..,..,25.2228977672032,25.9461746546468,29.4903142958359,27.6872988387785,21.9357162309938,15.4342942252209,14.9570069770904,14.0444078246446,12.7431862628121,12.9756912378528,..,..,..
Uzbekistan,UZB,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-205006878.842154,-665212034.69858,-545389489.4866,-608776388.262,-1659799355.44524,-1611410789,-741158491.424517,-687255065.174762,-804245735.750486,-1036625230.27392,-1657069191.40485,-1790139193.71019,-622886824.389982,-2313130816.86861,-1716938024.48459,-2277773115.81437,-2653272400.5716,-2144623728.15136,-2814987137.3349,..
Uzbekistan,UZB,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,1.19530557570436,2.99176207276698,1.85438789059302,1.81985173937585,3.34115466012917,2.68375111593279,1.10230120247607,0.945033981533171,1.00027476951682,1.20794015152469,1.93048466413592,2.57993736270607,1.06427628704368,3.44235052410005,2.60108803608825,2.94839500995796,2.94947448385164,2.10084902446518,2.5972703195852,..
Uzbekistan,UZB,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,207156423.36,667503821.44,547961216.4,613093923,1662748216.26524,1615052149.82,744244552.244516,691576225.994762,808675996.570486,1041199291.09392,1662886452.22485,1798299474.68216,624686535.504395,2316482962.28621,1728247827.58199,2280290469.82797,2657356365.09623,2156350918.89039,2985959445.03231,..
Uzbekistan,UZB,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,0.0124030068956201,0.0102718223201467,0.00870313281923931,0.0128157739100032,0.00592549128872053,0.00605089201935558,0.00457076715246505,0.00590483544846533,0.00547991796395384,0.00530656500369779,0.00675339725407193,0.0117071789577629,0.00306616159263367,0.00498137034590532,0.0170217448317792,0.00325491603381496,0.0045329069584263,0.0114253468709483,0.0319251972949375,..
Uzbekistan,UZB,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,2149544.517846,2291786.74142,2571726.9134,4317534.738,2948860.81999999,3641360.81999999,3086060.82,4321160.82,4430260.82,4574060.82,5817260.82,8160280.97196619,1799711.11441324,3352145.41759782,11309803.0974063,2517354.01360089,4083964.52463395,11727190.7390312,36702896.7599195,..
Uzbekistan,UZB,Forest area (% of land area),AG.LND.FRST.ZS,7.32899942640817,7.41577282652574,7.50509144040719,7.59450412322655,7.6844723004781,7.77762735510281,7.86948141349243,7.96137580342781,8.05307155527101,8.05583295506128,8.1397486557828,8.19844389770035,8.25712061408984,8.31637366503615,8.37322137751049,8.43180461723851,8.49046413042492,8.54914331101781,..,..
